Season,MatchWeek,Date,Team,Full Time Goals,Elo-rating before match,Elo-rating after match
2011-2012,27,2012-03-11,Swansea,1,1536.75,1560.73
2011-2012,27,2012-03-11,Man City,0,1776.89,1752.91
2011-2012,27,2012-03-12,Arsenal,2,1681.55,1692.88
2011-2012,27,2012-03-12,Newcastle,1,1594.88,1583.55
2011-2012,27,2012-03-13,Liverpool,3,1601.25,1616.86
2011-2012,27,2012-03-13,Everton,0,1615.27,1599.66
2011-2012,28,2012-03-17,Fulham,0,1579.94,1564.11
2011-2012,28,2012-03-17,Swansea,3,1560.73,1576.56
2011-2012,28,2012-03-17,Wigan,1,1464.96,1468.99
2011-2012,28,2012-03-17,West Brom,1,1560.45,1556.43
2011-2012,28,2012-03-18,Newcastle,1,1583.55,1596.25
2011-2012,28,2012-03-18,Norwich,0,1529.78,1517.08
2011-2012,28,2012-03-18,Wolves,0,1443.17,1440.1
2011-2012,28,2012-03-18,Man United,5,1820.11,1823.18
2011-2012,29,2012-03-20,Blackburn,2,1494.12,1512.2
2011-2012,29,2012-03-20,Sunderland,0,1566.4,1548.32
2011-2012,29,2012-03-21,Everton,0,1599.66,1588.59
2011-2012,29,2012-03-21,Arsenal,1,1692.88,1703.95
2011-2012,29,2012-03-21,Man City,2,1752.91,1764.45
2011-2012,29,2012-03-21,Chelsea,1,1671.25,1659.71
2011-2012,29,2012-03-21,QPR,3,1407.43,1430.52
2011-2012,29,2012-03-21,Liverpool,2,1616.86,1593.77
2011-2012,29,2012-03-21,Tottenham,1,1670.94,1665.62
2011-2012,29,2012-03-21,Stoke,1,1542.22,1547.54
2011-2012,30,2012-03-24,Swansea,0,1576.56,1562.08
2011-2012,30,2012-03-24,Everton,2,1588.59,1603.07
2011-2012,30,2012-03-24,Sunderland,3,1548.32,1558.42
2011-2012,30,2012-03-24,QPR,1,1430.52,1420.42
2011-2012,30,2012-03-24,Stoke,1,1547.54,1555.85
2011-2012,30,2012-03-24,Man City,1,1764.45,1756.14
2011-2012,30,2012-03-24,Norwich,2,1517.08,1528.81
2011-2012,30,2012-03-24,Wolves,1,1440.1,1428.37
2011-2012,30,2012-03-24,Bolton,2,1452.29,1469.85
2011-2012,30,2012-03-24,Blackburn,1,1512.2,1494.64
2011-2012,30,2012-03-24,Chelsea,0,1659.71,1659.96
2011-2012,30,2012-03-24,Tottenham,0,1665.62,1665.37
2011-2012,30,2012-03-24,Arsenal,3,1703.95,1713.02
2011-2012,30,2012-03-24,Aston Villa,0,1558.66,1549.59
2011-2012,30,2012-03-24,Liverpool,1,1593.77,1573.6
2011-2012,30,2012-03-24,Wigan,2,1468.99,1489.15
2011-2012,30,2012-03-25,West Brom,1,1556.43,1543.14
2011-2012,30,2012-03-25,Newcastle,3,1596.25,1609.53
2011-2012,30,2012-03-26,Man United,1,1823.18,1828.69
2011-2012,30,2012-03-26,Fulham,0,1564.11,1558.6
2011-2012,31,2012-03-31,Wigan,2,1489.15,1507.0
2011-2012,31,2012-03-31,Stoke,0,1555.85,1538.01
2011-2012,31,2012-03-31,Wolves,2,1428.37,1415.15
2011-2012,31,2012-03-31,Bolton,3,1469.85,1483.07
2011-2012,31,2012-03-31,QPR,2,1420.42,1445.72
2011-2012,31,2012-03-31,Arsenal,1,1713.02,1687.71
2011-2012,31,2012-03-31,Fulham,2,1558.6,1572.32
2011-2012,31,2012-03-31,Norwich,1,1528.81,1515.09
2011-2012,31,2012-03-31,Everton,2,1603.07,1615.51
2011-2012,31,2012-03-31,West Brom,0,1543.14,1530.7
2011-2012,31,2012-03-31,Aston Villa,2,1549.59,1539.2
2011-2012,31,2012-03-31,Chelsea,4,1659.96,1670.35
2011-2012,31,2012-03-31,Man City,3,1756.14,1748.42
2011-2012,31,2012-03-31,Sunderland,3,1558.42,1566.14
2011-2012,31,2012-04-01,Newcastle,2,1609.53,1622.99
2011-2012,31,2012-04-01,Liverpool,0,1573.6,1560.15
2011-2012,31,2012-04-01,Tottenham,3,1665.37,1676.04
2011-2012,31,2012-04-01,Swansea,1,1562.08,1551.41
2011-2012,31,2012-04-02,Blackburn,0,1494.64,1490.81
2011-2012,31,2012-04-02,Man United,2,1828.69,1832.52
2011-2012,32,2012-04-06,Swansea,0,1551.41,1539.46
2011-2012,32,2012-04-06,Newcastle,2,1622.99,1634.94
2011-2012,32,2012-04-07,Norwich,2,1515.09,1519.31
2011-2012,32,2012-04-07,Everton,2,1615.51,1611.29
2011-2012,32,2012-04-07,West Brom,3,1530.7,1543.99
2011-2012,32,2012-04-07,Blackburn,0,1490.81,1477.53
2011-2012,32,2012-04-07,Sunderland,0,1566.14,1570.74
2011-2012,32,2012-04-07,Tottenham,0,1676.04,1671.44
2011-2012,32,2012-04-07,Stoke,2,1538.01,1547.91
2011-2012,32,2012-04-07,Wolves,1,1415.15,1405.25
2011-2012,32,2012-04-07,Chelsea,2,1670.35,1678.78
2011-2012,32,2012-04-07,Wigan,1,1507.0,1498.57
2011-2012,32,2012-04-07,Bolton,0,1483.07,1471.84
2011-2012,32,2012-04-07,Fulham,3,1572.32,1583.55
2011-2012,32,2012-04-07,Liverpool,1,1560.15,1559.25
2011-2012,32,2012-04-07,Aston Villa,1,1539.2,1540.1
2011-2012,32,2012-04-08,Man United,2,1832.52,1835.44
2011-2012,32,2012-04-08,QPR,0,1445.72,1442.8
2011-2012,32,2012-04-08,Arsenal,1,1687.71,1705.31
2011-2012,32,2012-04-08,Man City,0,1748.42,1730.82
2011-2012,32,2012-04-09,Fulham,1,1583.55,1587.56
2011-2012,32,2012-04-09,Chelsea,1,1678.78,1674.77
2011-2012,32,2012-04-09,Newcastle,2,1634.94,1643.38
2011-2012,32,2012-04-09,Bolton,0,1471.84,1463.41
2011-2012,32,2012-04-09,Aston Villa,1,1540.1,1540.44
2011-2012,32,2012-04-09,Stoke,1,1547.91,1547.58
2011-2012,32,2012-04-09,Everton,4,1611.29,1624.55
2011-2012,32,2012-04-09,Sunderland,0,1570.74,1557.48
2011-2012,32,2012-04-09,Tottenham,1,1671.44,1650.26
2011-2012,32,2012-04-09,Norwich,2,1519.31,1540.49
2011-2012,32,2012-04-10,Blackburn,2,1477.53,1465.99
2011-2012,32,2012-04-10,Liverpool,3,1559.25,1570.78
2011-2012,32,2012-04-11,Man City,4,1730.82,1738.45
2011-2012,32,2012-04-11,West Brom,0,1543.99,1536.36
2011-2012,32,2012-04-11,QPR,3,1442.8,1461.87
2011-2012,32,2012-04-11,Swansea,0,1539.46,1520.39
2011-2012,32,2012-04-11,Wigan,1,1498.57,1524.8
2011-2012,32,2012-04-11,Man United,0,1835.44,1809.21
2011-2012,32,2012-04-11,Wolves,0,1405.25,1400.72
2011-2012,32,2012-04-11,Arsenal,3,1705.31,1709.84
2011-2012,33,2012-04-14,Norwich,1,1540.49,1533.22
2011-2012,33,2012-04-14,Man City,6,1738.45,1745.72
2011-2012,33,2012-04-14,Sunderland,0,1557.48,1551.14
2011-2012,33,2012-04-14,Wolves,0,1400.72,1407.06
2011-2012,33,2012-04-14,Swansea,3,1520.39,1533.06
2011-2012,33,2012-04-14,Blackburn,0,1465.99,1453.32
2011-2012,33,2012-04-14,West Brom,1,1536.36,1548.19
2011-2012,33,2012-04-14,QPR,0,1461.87,1450.04
2011-2012,33,2012-04-15,Man United,4,1809.21,1814.48
2011-2012,33,2012-04-15,Aston Villa,0,1540.44,1535.17
2011-2012,33,2012-04-16,Arsenal,1,1709.84,1687.53
2011-2012,33,2012-04-16,Wigan,2,1524.8,1547.11
2011-2012,34,2012-04-21,QPR,1,1450.04,1472.84
2011-2012,34,2012-04-21,Tottenham,0,1650.26,1627.47
2011-2012,34,2012-04-21,Newcastle,3,1643.38,1654.34
2011-2012,34,2012-04-21,Stoke,0,1547.58,1536.61
2011-2012,34,2012-04-21,Fulham,2,1587.56,1600.82
2011-2012,34,2012-04-21,Wigan,1,1547.11,1533.85
2011-2012,34,2012-04-21,Aston Villa,0,1535.17,1535.86
2011-2012,34,2012-04-21,Sunderland,0,1551.14,1550.45
2011-2012,34,2012-04-21,Blackburn,2,1453.32,1471.71
2011-2012,34,2012-04-21,Norwich,0,1533.22,1514.83
2011-2012,34,2012-04-21,Arsenal,0,1687.53,1686.97
2011-2012,34,2012-04-21,Chelsea,0,1674.77,1675.32
2011-2012,34,2012-04-21,Bolton,1,1463.41,1466.37
2011-2012,34,2012-04-21,Swansea,1,1533.06,1530.1
2011-2012,34,2012-04-22,Liverpool,0,1570.78,1554.81
2011-2012,34,2012-04-22,West Brom,1,1548.19,1564.16
2011-2012,34,2012-04-22,Man United,4,1814.48,1807.01
2011-2012,34,2012-04-22,Everton,4,1624.55,1632.02
2011-2012,34,2012-04-22,Wolves,0,1407.06,1403.32
2011-2012,34,2012-04-22,Man City,2,1745.72,1749.46
2011-2012,34,2012-04-24,Aston Villa,1,1535.86,1517.9
2011-2012,34,2012-04-24,Bolton,2,1466.37,1484.34
2011-2012,35,2012-04-28,West Brom,0,1564.16,1562.18
2011-2012,35,2012-04-28,Aston Villa,0,1517.9,1519.89
2011-2012,35,2012-04-28,Wigan,4,1533.85,1553.85
2011-2012,35,2012-04-28,Newcastle,0,1654.34,1634.34
2011-2012,35,2012-04-28,Swansea,4,1530.1,1524.85
2011-2012,35,2012-04-28,Wolves,4,1403.32,1408.57
2011-2012,35,2012-04-28,Norwich,0,1514.83,1501.55
2011-2012,35,2012-04-28,Liverpool,3,1554.81,1568.09
2011-2012,35,2012-04-28,Stoke,1,1536.61,1542.73
2011-2012,35,2012-04-28,Arsenal,1,1686.97,1680.86
2011-2012,35,2012-04-28,Sunderland,2,1550.45,1547.63
2011-2012,35,2012-04-28,Bolton,2,1484.34,1487.16
2011-2012,35,2012-04-28,Everton,4,1632.02,1645.68
2011-2012,35,2012-04-28,Fulham,0,1600.82,1587.16
2011-2012,35,2012-04-29,Chelsea,6,1675.32,1682.45
2011-2012,35,2012-04-29,QPR,1,1472.84,1465.71
2011-2012,35,2012-04-29,Tottenham,2,1627.47,1636.16
2011-2012,35,2012-04-29,Blackburn,0,1471.71,1463.02
2011-2012,35,2012-04-30,Man City,1,1749.46,1766.92
2011-2012,35,2012-04-30,Man United,0,1807.01,1789.54
2011-2012,35,2012-05-01,Liverpool,0,1568.09,1553.91
2011-2012,35,2012-05-01,Fulham,1,1587.16,1601.34
2011-2012,35,2012-05-01,Stoke,1,1542.73,1547.04
2011-2012,35,2012-05-01,Everton,1,1645.68,1641.36
2011-2012,35,2012-05-02,Bolton,1,1487.16,1478.22
2011-2012,35,2012-05-02,Tottenham,4,1636.16,1645.09
2011-2012,35,2012-05-02,Chelsea,0,1682.45,1665.38
2011-2012,35,2012-05-02,Newcastle,2,1634.34,1651.4
2011-2012,36,2012-05-05,Arsenal,3,1680.86,1673.74
2011-2012,36,2012-05-05,Norwich,3,1501.55,1508.67
2011-2012,36,2012-05-06,Aston Villa,1,1519.89,1525.07
2011-2012,36,2012-05-06,Tottenham,1,1645.09,1639.91
2011-2012,36,2012-05-06,Bolton,2,1478.22,1481.78
2011-2012,36,2012-05-06,West Brom,2,1562.18,1558.62
2011-2012,36,2012-05-06,Fulham,2,1601.34,1614.04
2011-2012,36,2012-05-06,Sunderland,1,1547.63,1534.93
2011-2012,36,2012-05-06,Man United,2,1789.54,1794.91
2011-2012,36,2012-05-06,Swansea,0,1524.85,1519.49
2011-2012,36,2012-05-06,Newcastle,0,1651.4,1641.21
2011-2012,36,2012-05-06,Man City,2,1766.92,1777.11
2011-2012,36,2012-05-06,QPR,1,1465.71,1484.16
2011-2012,36,2012-05-06,Stoke,0,1547.04,1528.6
2011-2012,36,2012-05-06,Wolves,0,1408.57,1417.34
2011-2012,36,2012-05-06,Everton,0,1641.36,1632.58
2011-2012,36,2012-05-07,Blackburn,0,1463.02,1451.85
2011-2012,36,2012-05-07,Wigan,1,1553.85,1565.02
2011-2012,36,2012-05-08,Liverpool,4,1553.91,1573.57
2011-2012,36,2012-05-08,Chelsea,1,1665.38,1645.73
2011-2012,37,2012-05-13,West Brom,2,1558.62,1548.42
2011-2012,37,2012-05-13,Arsenal,3,1673.74,1683.94
2011-2012,37,2012-05-13,Tottenham,2,1639.91,1653.79
2011-2012,37,2012-05-13,Fulham,0,1614.04,1600.16
2011-2012,37,2012-05-13,Wigan,3,1565.02,1574.0
2011-2012,37,2012-05-13,Wolves,2,1417.34,1408.36
2011-2012,37,2012-05-13,Swansea,1,1519.49,1536.8
2011-2012,37,2012-05-13,Liverpool,0,1573.57,1556.25
2011-2012,37,2012-05-13,Sunderland,0,1534.93,1529.44
2011-2012,37,2012-05-13,Man United,1,1794.91,1800.4
2011-2012,37,2012-05-13,Stoke,2,1528.6,1526.59
2011-2012,37,2012-05-13,Bolton,2,1481.78,1483.79
2011-2012,37,2012-05-13,Norwich,2,1508.67,1524.38
2011-2012,37,2012-05-13,Aston Villa,0,1525.07,1509.36
2011-2012,37,2012-05-13,Man City,3,1777.11,1781.8
2011-2012,37,2012-05-13,QPR,2,1484.16,1479.47
2011-2012,37,2012-05-13,Everton,3,1632.58,1647.96
2011-2012,37,2012-05-13,Newcastle,1,1641.21,1625.84
2011-2012,37,2012-05-13,Chelsea,2,1645.73,1653.13
2011-2012,37,2012-05-13,Blackburn,1,1451.85,1444.45
2012-2013,1,2012-08-18,West Brom,3,1548.42,1563.76
2012-2013,1,2012-08-18,Liverpool,0,1556.25,1540.91
2012-2013,1,2012-08-18,Reading,1,1457.82,1460.75
2012-2013,1,2012-08-18,Stoke,1,1526.59,1523.66
2012-2013,1,2012-08-18,QPR,0,1479.47,1466.92
2012-2013,1,2012-08-18,Swansea,5,1536.8,1549.35
2012-2013,1,2012-08-18,West Ham,1,1455.39,1472.7
2012-2013,1,2012-08-18,Aston Villa,0,1509.36,1492.05
2012-2013,1,2012-08-18,Fulham,5,1600.16,1611.94
2012-2013,1,2012-08-18,Norwich,0,1524.38,1512.6
2012-2013,1,2012-08-18,Arsenal,0,1683.94,1677.68
2012-2013,1,2012-08-18,Sunderland,0,1529.44,1535.7
2012-2013,1,2012-08-18,Newcastle,2,1625.84,1642.05
2012-2013,1,2012-08-18,Tottenham,1,1653.79,1637.59
2012-2013,1,2012-08-19,Man City,3,1781.8,1786.03
2012-2013,1,2012-08-19,Southampton,2,1468.09,1463.86
2012-2013,1,2012-08-19,Wigan,0,1574.0,1562.36
2012-2013,1,2012-08-19,Chelsea,2,1653.13,1664.77
2012-2013,1,2012-08-20,Everton,1,1647.96,1669.15
2012-2013,1,2012-08-20,Man United,0,1800.4,1779.21
2012-2013,1,2012-08-22,Chelsea,4,1664.77,1671.85
2012-2013,1,2012-08-22,Reading,2,1460.75,1453.66
2012-2013,2,2012-08-25,Tottenham,1,1637.59,1634.45
2012-2013,2,2012-08-25,West Brom,1,1563.76,1566.9
2012-2013,2,2012-08-25,Aston Villa,1,1492.05,1484.1
2012-2013,2,2012-08-25,Everton,3,1669.15,1677.1
2012-2013,2,2012-08-25,Chelsea,2,1671.85,1685.57
2012-2013,2,2012-08-25,Newcastle,0,1642.05,1628.33
2012-2013,2,2012-08-25,Man United,3,1779.21,1787.5
2012-2013,2,2012-08-25,Fulham,2,1611.94,1603.65
2012-2013,2,2012-08-25,Norwich,1,1512.6,1510.64
2012-2013,2,2012-08-25,QPR,1,1466.92,1468.88
2012-2013,2,2012-08-25,Southampton,0,1463.86,1453.0
2012-2013,2,2012-08-25,Wigan,2,1562.36,1573.22
2012-2013,2,2012-08-25,Swansea,3,1549.35,1561.09
2012-2013,2,2012-08-25,West Ham,0,1472.7,1460.96
2012-2013,2,2012-08-26,Stoke,0,1523.66,1529.9
2012-2013,2,2012-08-26,Arsenal,0,1677.68,1671.44
2012-2013,2,2012-08-26,Liverpool,2,1540.91,1550.03
2012-2013,2,2012-08-26,Man City,2,1786.03,1776.92
2012-2013,3,2012-09-01,Man City,3,1776.92,1781.27
2012-2013,3,2012-09-01,QPR,1,1468.88,1464.53
2012-2013,3,2012-09-01,Swansea,2,1561.09,1560.0
2012-2013,3,2012-09-01,Sunderland,2,1535.7,1536.8
2012-2013,3,2012-09-01,Tottenham,1,1634.45,1629.32
2012-2013,3,2012-09-01,Norwich,1,1510.64,1515.77
2012-2013,3,2012-09-01,West Brom,2,1566.9,1586.5
2012-2013,3,2012-09-01,Everton,0,1677.1,1657.49
2012-2013,3,2012-09-01,West Ham,3,1460.96,1481.79
2012-2013,3,2012-09-01,Fulham,0,1603.65,1582.81
2012-2013,3,2012-09-01,Wigan,2,1573.22,1571.36
2012-2013,3,2012-09-01,Stoke,2,1529.9,1531.76
2012-2013,3,2012-09-02,Liverpool,0,1550.03,1540.07
2012-2013,3,2012-09-02,Arsenal,2,1671.44,1681.4
2012-2013,3,2012-09-02,Newcastle,1,1628.33,1622.44
2012-2013,3,2012-09-02,Aston Villa,1,1484.1,1489.99
2012-2013,3,2012-09-02,Southampton,2,1453.0,1449.18
2012-2013,3,2012-09-02,Man United,3,1787.5,1791.32
2012-2013,4,2012-09-15,Sunderland,1,1536.8,1536.94
2012-2013,4,2012-09-15,Liverpool,1,1540.07,1539.93
2012-2013,4,2012-09-15,Stoke,1,1531.76,1541.0
2012-2013,4,2012-09-15,Man City,1,1781.27,1772.03
2012-2013,4,2012-09-15,QPR,0,1464.53,1472.96
2012-2013,4,2012-09-15,Chelsea,0,1685.57,1677.13
2012-2013,4,2012-09-15,Norwich,0,1515.77,1514.3
2012-2013,4,2012-09-15,West Ham,0,1481.79,1483.26
2012-2013,4,2012-09-15,Aston Villa,2,1489.99,1507.97
2012-2013,4,2012-09-15,Swansea,0,1560.0,1542.02
2012-2013,4,2012-09-15,Fulham,3,1582.81,1597.97
2012-2013,4,2012-09-15,West Brom,0,1586.5,1571.34
2012-2013,4,2012-09-15,Arsenal,6,1681.4,1687.64
2012-2013,4,2012-09-15,Southampton,1,1449.18,1442.94
2012-2013,4,2012-09-15,Man United,4,1791.32,1797.91
2012-2013,4,2012-09-15,Wigan,0,1571.36,1564.76
2012-2013,4,2012-09-16,Reading,1,1453.66,1445.66
2012-2013,4,2012-09-16,Tottenham,3,1629.32,1637.32
2012-2013,4,2012-09-17,Everton,2,1657.49,1655.99
2012-2013,4,2012-09-17,Newcastle,2,1622.44,1623.95
2012-2013,5,2012-09-22,West Ham,1,1483.26,1485.56
2012-2013,5,2012-09-22,Sunderland,1,1536.94,1534.64
2012-2013,5,2012-09-22,Wigan,1,1564.76,1551.19
2012-2013,5,2012-09-22,Fulham,2,1597.97,1611.54
2012-2013,5,2012-09-22,West Brom,1,1571.34,1581.14
2012-2013,5,2012-09-22,Reading,0,1445.66,1435.86
2012-2013,5,2012-09-22,Southampton,4,1442.94,1460.72
2012-2013,5,2012-09-22,Aston Villa,1,1507.97,1490.2
2012-2013,5,2012-09-22,Chelsea,1,1677.13,1686.54
2012-2013,5,2012-09-22,Stoke,0,1541.0,1531.59
2012-2013,5,2012-09-22,Swansea,0,1542.02,1531.77
2012-2013,5,2012-09-22,Everton,3,1655.99,1666.24
2012-2013,5,2012-09-23,Liverpool,1,1539.93,1534.39
2012-2013,5,2012-09-23,Man United,2,1797.91,1803.45
2012-2013,5,2012-09-23,Man City,1,1772.03,1768.46
2012-2013,5,2012-09-23,Arsenal,1,1687.64,1691.21
2012-2013,5,2012-09-23,Newcastle,1,1623.95,1634.36
2012-2013,5,2012-09-23,Norwich,0,1514.3,1503.89
2012-2013,5,2012-09-23,Tottenham,2,1637.32,1645.71
2012-2013,5,2012-09-23,QPR,1,1472.96,1464.57
2012-2013,6,2012-09-29,Man United,2,1803.45,1782.08
2012-2013,6,2012-09-29,Tottenham,3,1645.71,1667.09
2012-2013,6,2012-09-29,Arsenal,1,1691.21,1676.01
2012-2013,6,2012-09-29,Chelsea,2,1686.54,1701.74
2012-2013,6,2012-09-29,Everton,3,1666.24,1673.27
2012-2013,6,2012-09-29,Southampton,1,1460.72,1453.68
2012-2013,6,2012-09-29,Fulham,1,1611.54,1602.89
2012-2013,6,2012-09-29,Man City,2,1768.46,1777.11
2012-2013,6,2012-09-29,Norwich,2,1503.89,1490.2
2012-2013,6,2012-09-29,Liverpool,5,1534.39,1548.07
2012-2013,6,2012-09-29,Reading,2,1435.86,1443.61
2012-2013,6,2012-09-29,Newcastle,2,1634.36,1626.62
2012-2013,6,2012-09-29,Stoke,2,1531.59,1546.6
2012-2013,6,2012-09-29,Swansea,0,1531.77,1516.76
2012-2013,6,2012-09-29,Sunderland,1,1534.64,1550.35
2012-2013,6,2012-09-29,Wigan,0,1551.19,1535.47
2012-2013,6,2012-09-30,Aston Villa,1,1490.2,1494.04
2012-2013,6,2012-09-30,West Brom,1,1581.14,1577.3
2012-2013,6,2012-10-01,QPR,1,1464.57,1450.48
2012-2013,6,2012-10-01,West Ham,2,1485.56,1499.65
2012-2013,7,2012-10-06,Wigan,2,1535.47,1541.13
2012-2013,7,2012-10-06,Everton,2,1673.27,1667.61
2012-2013,7,2012-10-06,West Ham,1,1499.65,1491.67
2012-2013,7,2012-10-06,Arsenal,3,1676.01,1683.99
2012-2013,7,2012-10-06,West Brom,3,1577.3,1587.06
2012-2013,7,2012-10-06,QPR,2,1450.48,1440.72
2012-2013,7,2012-10-06,Swansea,2,1516.76,1513.65
2012-2013,7,2012-10-06,Reading,2,1443.61,1446.72
2012-2013,7,2012-10-06,Man City,3,1777.11,1783.51
2012-2013,7,2012-10-06,Sunderland,0,1550.35,1543.95
2012-2013,7,2012-10-06,Chelsea,4,1701.74,1708.59
2012-2013,7,2012-10-06,Norwich,1,1490.2,1483.35
2012-2013,7,2012-10-07,Liverpool,0,1548.07,1548.01
2012-2013,7,2012-10-07,Stoke,0,1546.6,1546.66
2012-2013,7,2012-10-07,Newcastle,0,1626.62,1617.91
2012-2013,7,2012-10-07,Man United,3,1782.08,1790.78
2012-2013,7,2012-10-07,Southampton,2,1453.68,1459.75
2012-2013,7,2012-10-07,Fulham,2,1602.89,1596.82
2012-2013,7,2012-10-07,Tottenham,2,1667.09,1675.18
2012-2013,7,2012-10-07,Aston Villa,0,1494.04,1485.94
2012-2013,8,2012-10-20,West Ham,4,1491.67,1505.3
2012-2013,8,2012-10-20,Southampton,1,1459.75,1446.13
2012-2013,8,2012-10-20,West Brom,1,1587.06,1579.74
2012-2013,8,2012-10-20,Man City,2,1783.51,1790.83
2012-2013,8,2012-10-20,Tottenham,2,1675.18,1661.62
2012-2013,8,2012-10-20,Chelsea,4,1708.59,1722.15
2012-2013,8,2012-10-20,Swansea,2,1513.65,1529.83
2012-2013,8,2012-10-20,Wigan,1,1541.13,1524.95
2012-2013,8,2012-10-20,Man United,4,1790.78,1796.69
2012-2013,8,2012-10-20,Stoke,2,1546.66,1540.75
2012-2013,8,2012-10-20,Liverpool,1,1548.01,1558.76
2012-2013,8,2012-10-20,Reading,0,1446.72,1435.97
2012-2013,8,2012-10-20,Fulham,1,1596.82,1607.19
2012-2013,8,2012-10-20,Aston Villa,0,1485.94,1475.58
2012-2013,8,2012-10-20,Norwich,1,1483.35,1506.16
2012-2013,8,2012-10-20,Arsenal,0,1683.99,1661.18
2012-2013,8,2012-10-21,QPR,1,1440.72,1449.33
2012-2013,8,2012-10-21,Everton,1,1667.61,1659.01
2012-2013,8,2012-10-21,Sunderland,1,1543.95,1547.1
2012-2013,8,2012-10-21,Newcastle,1,1617.91,1614.77
2012-2013,9,2012-10-27,Stoke,0,1540.75,1541.03
2012-2013,9,2012-10-27,Sunderland,0,1547.1,1546.83
2012-2013,9,2012-10-27,Reading,3,1435.97,1442.82
2012-2013,9,2012-10-27,Fulham,3,1607.19,1600.34
2012-2013,9,2012-10-27,Wigan,2,1524.95,1539.1
2012-2013,9,2012-10-27,West Ham,1,1505.3,1491.15
2012-2013,9,2012-10-27,Aston Villa,1,1475.58,1476.89
2012-2013,9,2012-10-27,Norwich,1,1506.16,1504.85
2012-2013,9,2012-10-27,Arsenal,1,1661.18,1668.02
2012-2013,9,2012-10-27,QPR,0,1449.33,1442.49
2012-2013,9,2012-10-27,Man City,1,1790.83,1796.29
2012-2013,9,2012-10-27,Swansea,0,1529.83,1524.37
2012-2013,9,2012-10-28,Newcastle,2,1614.77,1628.26
2012-2013,9,2012-10-28,West Brom,1,1579.74,1566.24
2012-2013,9,2012-10-28,Southampton,1,1446.13,1439.4
2012-2013,9,2012-10-28,Tottenham,2,1661.62,1668.35
2012-2013,9,2012-10-28,Chelsea,2,1722.15,1710.32
2012-2013,9,2012-10-28,Man United,3,1796.69,1808.52
2012-2013,9,2012-10-28,Everton,2,1659.01,1654.8
2012-2013,9,2012-10-28,Liverpool,2,1558.76,1562.97
2012-2013,10,2012-11-03,Fulham,2,1600.34,1602.67
2012-2013,10,2012-11-03,Everton,2,1654.8,1652.46
2012-2013,10,2012-11-03,Man United,2,1808.52,1817.76
2012-2013,10,2012-11-03,Arsenal,1,1668.02,1658.77
2012-2013,10,2012-11-03,Norwich,1,1504.85,1521.4
2012-2013,10,2012-11-03,Stoke,0,1541.03,1524.47
2012-2013,10,2012-11-03,Sunderland,0,1546.83,1528.85
2012-2013,10,2012-11-03,Aston Villa,1,1476.89,1494.87
2012-2013,10,2012-11-03,Swansea,1,1524.37,1531.71
2012-2013,10,2012-11-03,Chelsea,1,1710.32,1702.98
2012-2013,10,2012-11-03,Tottenham,0,1668.35,1648.01
2012-2013,10,2012-11-03,Wigan,1,1539.1,1559.43
2012-2013,10,2012-11-03,West Ham,0,1491.15,1501.73
2012-2013,10,2012-11-03,Man City,0,1796.29,1785.71
2012-2013,10,2012-11-04,Liverpool,1,1562.97,1565.75
2012-2013,10,2012-11-04,Newcastle,1,1628.26,1625.48
2012-2013,10,2012-11-04,QPR,1,1442.49,1442.5
2012-2013,10,2012-11-04,Reading,1,1442.82,1442.81
2012-2013,10,2012-11-05,West Brom,2,1566.24,1576.0
2012-2013,10,2012-11-05,Southampton,0,1439.4,1429.64
2012-2013,11,2012-11-10,Wigan,1,1559.43,1545.15
2012-2013,11,2012-11-10,West Brom,2,1576.0,1590.28
2012-2013,11,2012-11-10,Stoke,1,1524.47,1536.0
2012-2013,11,2012-11-10,QPR,0,1442.5,1430.98
2012-2013,11,2012-11-10,Southampton,1,1429.64,1433.93
2012-2013,11,2012-11-10,Swansea,1,1531.71,1527.43
2012-2013,11,2012-11-10,Aston Villa,2,1494.87,1490.83
2012-2013,11,2012-11-10,Man United,3,1817.76,1821.81
2012-2013,11,2012-11-10,Everton,2,1652.46,1662.34
2012-2013,11,2012-11-10,Sunderland,1,1528.85,1518.97
2012-2013,11,2012-11-10,Arsenal,3,1658.77,1656.37
2012-2013,11,2012-11-10,Fulham,3,1602.67,1605.07
2012-2013,11,2012-11-10,Reading,0,1442.81,1446.14
2012-2013,11,2012-11-10,Norwich,0,1521.4,1518.07
2012-2013,11,2012-11-11,Chelsea,1,1702.98,1697.35
2012-2013,11,2012-11-11,Liverpool,1,1565.75,1571.39
2012-2013,11,2012-11-11,Man City,2,1785.71,1795.06
2012-2013,11,2012-11-11,Tottenham,1,1648.01,1638.67
2012-2013,11,2012-11-11,Newcastle,0,1625.48,1605.35
2012-2013,11,2012-11-11,West Ham,1,1501.73,1521.86
2012-2013,12,2012-11-17,QPR,1,1430.98,1416.1
2012-2013,12,2012-11-17,Southampton,3,1433.93,1448.8
2012-2013,12,2012-11-17,West Brom,2,1590.28,1609.77
2012-2013,12,2012-11-17,Chelsea,1,1697.35,1677.87
2012-2013,12,2012-11-17,Reading,2,1446.14,1469.43
2012-2013,12,2012-11-17,Everton,1,1662.34,1639.05
2012-2013,12,2012-11-17,Norwich,1,1518.07,1543.62
2012-2013,12,2012-11-17,Man United,0,1821.81,1796.26
2012-2013,12,2012-11-17,Man City,5,1795.06,1799.49
